Lon,Lat,Clave,Edo,Est,Tmed
-102.04,26.99,CUATROCIENEGAS,COAH,Cuatro CiÈnegas Coah. SMN*,13.1
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,12.7
-103.87,19.17,LAECM,COL,La Esperanza Col.,23.8
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,24.8
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,24.4
-103.87,18.91,TCMCM,COL,Tecom·n Col.,27.4
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,25.0
-103.73,19.22,LPSCM,COL,La Posta Col.,25.0
-104.1,18.94,RDRCM,COL,Radar Col.,24.5
-103.81,19.33,PNTCM,COL,PeÒitas Col.,26.3
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,24.7
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,23.2
-104.32,19.05,MANZANILLOob,COL,Observatorio de Manzanillo Col. SMN*,24.9
-104.3,19.07,MANZANILLOMAR,COL,Manzanillo Col. SEMAR*,24.1
-103.73,19.23,COLIMAob,COL,Observatorio de Colima Col. SMN*,24.8
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,25.4
-103.88,19.11,DJLCM,COL,Presa derivadora Jala Col.,24.4
-103.61,19.25,BVSCM,COL,Buenavista Col.,23.7
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,13.6
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,15.7
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,14.2
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,11.0
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,11.6
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,11.7
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,12.5
-104.67,24.03,DRGDR,DGO,Durango Dgo.,12.6
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,10.8
-104.75,24.5,CNTDR,DGO,Canatl·n Dgo.,11.4
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,10.2
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,21.4
-103.7,24.87,CNCDR,DGO,CuencamÈ Dgo.,14.1
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,12.4
-105.44,25.22,SACDR,DGO,SalomÈ Acosta Dgo.,9.8
-104.07,25.26,AM2DR,DGO,AgustÌn Melgar Dgo. SMN*,12.4
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,13.7
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,10.1
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,14.4
-105.02,25.59,LCRDR,DGO,L·zaro C·rdenas Dgo.,14.0
-103.85,25.82,MPMDR,DGO,MapimÌ Dgo.,12.6
-105.37,25.95,SMODR,DGO,Santa MarÌa del Oro Dgo.,8.3
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,14.1
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,11.2
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,10.6
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,10.6
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,13.8
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,10.4
-104.66,24.2,PAGDR,DGO,PeÒa del ¡guila Dgo.,11.0
-104.33,24.54,PDCDR,DGO,P·nuco de Coronado Dgo.,9.3
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,10.7
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,11.2
-105.35,23.69,SLTDR,DGO,El Salto Dgo.,6.6
-104.92,24.8,GUADR,DGO,GuatimapÈ Dgo.,7.5
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidromÈtrica Dgo.,11.6
-103.96,24,FV2DR,DGO,Francisco Villa hidromÈtrica Dgo.,12.5
-104.66,24.24,PA2DR,DGO,PeÒa del ¡guila hidromÈtrica Dgo.,10.7
-104.8,24.52,CB2DR,DGO,Caboraca hidromÈtrica Dgo.,10.3
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,14.5
-104.25,23.39,MICHILIA,DGO,La Michilia Dgo. SMN*,7.3
-105.47,24.19,LVEDR,DGO,Las Vegas Dgo. SMN*,6.2
-102.77,24.63,SANJUANGPE,DGO,San Juan Guadalupe Dgo. SMN*,13.0
-104.03,24.79,PBLDR,DGO,PeÒÛn Blanco Dgo.,9.3
-105.33,26.43,SANANTONIO,DGO,San Antonio Dgo. SGT*,9.7
-103.98,26.55,LAFLOR,DGO,La Flor de Jimulco Dgo. SMN*,12.5
-103.75,26.69,MAPIMI,DGO,MapimÌ Dgo. SMN*,13.5
-105.04,23.83,NAVDR,DGO,NavÌos Viejos Dgo.,6.1
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria hidromÈtrica Dgo.,11.7
-106.13,24.44,SJRDR,DGO,San JosÈ de los Reyes Dgo.,16.1
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,21.0
-104.11,25.23,NZSDR,DGO,Nazas Dgo.,16.1
-105.72,25.34,TLHDR,DGO,Observatorio de Tepehuanes Dgo.,9.9
-106.7,25.35,LHRDR,DGO,La Huerta Dgo.,19.2
-104.9,25.75,RPADR,DGO,Radar Palmito Dgo.,10.1
-105.96,25.93,GNCDR,DGO,GuanacevÌ Dgo.,5.1
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,25.6
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,23.3
-99.93,17.6,YXTGR,GRO,Yextla Gro.,18.2
-100.52,18.08,AFIGR,GRO,AndrÈs Figueroa Gro.,28.5
-99.6,18.55,TAXCO,GRO,TAXCO GRO.,19.7
-99.61,18.55,TAXGR,GRO,TAXCO GRO.,20.4
-98.41,16.47,CNLGR,GRO,Cuajinicuilapa Gro.,27.6
-98.43,16.68,OMEGR,GRO,Ometepec Gro.,20.4
-99.75,16.76,ACUGR,GRO,Acapulco Gro. SMN*,26.6
-99.8,16.8,ODAGR,GRO,Observatorio de Acapulco Gro.,26.5
-99.91,16.85,ACAGR,GRO,Acapulco Gro.,26.1
-99.1,16.95,AYUGR,GRO,Ayutla Gro.,25.1
-99.78,16.97,K21GR,GRO,km 21 Gro.,27.3
-100.47,17.14,SJEGR,GRO,San JerÛnimo Gro.,26.6
-99.53,17.17,TCOGR,GRO,Tierra Colorada Gro.,26.7
-100.43,17.21,ATYGR,GRO,Atoyac Gro.,27.0
-101.05,17.38,CYQGR,GRO,Coyuquilla Gro.,27.4
-99.45,17.48,PETGR,GRO,Petaquillas Gro.,20.4
-98.6,17.5,TLPGR,GRO,Tlapa Gro.,22.7
-99.5,17.55,CHIGR,GRO,Chilpancingo Gro.,20.7
-99.4,17.57,TXTGR,GRO,Tixtla Gro.,20.6
-99.5,17.6,ODZGR,GRO,Observatorio de Zumpango Gro.,22.6
-99.18,17.61,CHLGR,GRO,Chilapa Gro.,19.4
-99.7,17.67,CCHGR,GRO,Chichihualco Gro.,19.1
-99.98,17.79,TLAGR,GRO,Tlacotepec Gro.,13.8
